NUMBER	ENGLISH	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
169	boat	112	1844	BOAT	2
170	road	112	667	ROAD	2
171	to go	112	695	GO	1
172	to come	112	1446	COME	1
173	to stand	113	1442	STAND	1
174	to sit	113	1416	SIT	1
175	to lie down	113	215	LIE DOWN	1
176	to walk	114	1443	WALK	1
177	to fly	114	1441	FLY (MOVE THROUGH AIR)	1
178	to enter	114	749	ENTER	1
179	to kick	115	1135	KICK	1
180	to swim	115	1439	SWIM	1
181	to see	116	1409	SEE	1
182	to hear	116	1408	HEAR	1
183	to wait	116	1590	WAIT (FOR)	1
184	to cry	116	1839	CRY	1
185	to cook	117	1100	COOK (SOMETHING)	1
186	to boil (water)	117	792	BOIL (OF LIQUID)	1
187	to eat	117	1336	EAT	1
188	to drink	118	1401	DRINK	1
189	to sing	118	1261	SING	1
190	to bite	118	1403	BITE	1
191	to laugh	119	1355	LAUGH	1
192	to speak	119	1623	SPEAK	1
193	to know	120	3626	KNOW	1
194	to forget	120	1523	FORGET	1
195	to sleep	121	1585	SLEEP	1
196	to dream	121	1920	DREAM (SOMETHING)	1
197	to do/make	121	2575	DO OR MAKE	1
198	to work	122	1086	WORK (ACTIVITY)	1
199	to play	122	1413	PLAY	1
200	to dance	123	1879	DANCE	1
201	to throw	123	1456	THROW	1
202	to lift	124	501	LIFT	1
203	to push	124	1452	PUSH	1
204	to pull	125	1455	PULL	1
205	to tie	125	1917	TIE	1
206	to wipe	125	1454	WIPE	1
207	to weave (on loom)	126	133	WEAVE	1
208	to sew	126	1457	SEW	1
209	to wash (face/hand)	126	1453	WASH	3
210	to take bath	127	138	BATHE	1
211	to cut (something)	127	1432	CUT	3
212	to burn	128	2102	BURN	1
213	to buy	128	1869	BUY	1
214	to sell	128	1571	SELL	1
215	to steal	129	713	STEAL	1
216	to lie, fib	129	601	LIE (MISLEAD)	1
217	to take	130	1749	TAKE	1
218	to give	130	1447	GIVE	1
219	to kill	131	1417	KILL	1
220	to die	131	1494	DIE	1
221	to love	131	923	LOVE	1
222	to hate	132	1607	HATE	1
223	one	132	1493	ONE	2
224	two	132	1498	TWO	2
225	three	133	492	THREE	2
226	four	133	1500	FOUR	2
227	five	133	493	FIVE	2
228	six	134	1703	SIX	2
229	seven	134	1704	SEVEN	2
230	eight	134	1705	EIGHT	2
231	nine	134	1483	NINE	2
232	ten	135	1515	TEN	2
233	eleven	135	1706	ELEVEN	2
234	twelve	135	1707	TWELVE	2
235	twenty	135	1710	TWENTY	2
236	hundred	135	1634	HUNDRED	2
237	thousand	135	1843	THOUSAND	2
238	some	136	1241	SOME	2
239	many	136	1198	MANY	2
240	all	136	98	ALL	2
241	big	136	1202	BIG	2
242	small	137	1246	SMALL	2
243	long	137	1203	LONG	2
244	short (length)	137	1645	SHORT	2
245	heavy	137	1210	HEAVY	2
246	light (not heavy)	137	1052	LIGHT (WEIGHT)	2
247	fat [b]	138	1279	FAT (OBESE)	2
248	thin	138	1400	THIN (SLIM)	2
249	wide, broad	138	1243	WIDE	2
250	narrow	138	1267	NARROW	2
251	deep	139	1593	DEEP	2
252	shallow	139	193	SHALLOW	2
253	full (cup)	139	1429	FULL	4
254	empty (cup)	139	1624	EMPTY	4
255	hungry	140	1533	BE HUNGRY	2
256	thirsty	140	847	THIRSTY	2
257	sweet	140	717	SWEET	2
258	sour	141	1906	SOUR	2
259	bitter	141	887	BITTER	2
260	spicy, hot	141	544	SPICY	2
261	ripe	142	178	RIPE	2
262	rotten (fruit)	142	1728	ROTTEN	2
263	right [correct]	142	1725	CORRECT (RIGHT)	2
264	wrong	142	1390	WRONG	2
265	fast	143	1631	FAST	2
266	slow	143	701	SLOW	2
267	same	143	200	SAME	2
268	different	144	2504	DIFFERENT	2
269	dry	144	1398	DRY	2
270	wet	144	1726	WET	2
271	hot (weather)	144	1286	HOT	2
272	cold (weather)	144	2483	COLD (OF WEATHER)	2
273	good	144	1035	GOOD	2
274	bad	145	1292	BAD	2
275	new	145	1231	NEW	2
276	old	145	2112	OLD (AGED)	2
277	broken	145	588	BROKEN	2
278	above	146	1741	ABOVE	2
279	below	146	1485	BELOW OR UNDER	2
280	far	146	1406	FAR	2
281	near	147	1942	NEAR	2
282	right [direction]	147	1019	RIGHT	2
283	left	147	244	LEFT	2
284	black	147	163	BLACK	2
285	white	147	1335	WHITE	2
286	red	148	156	RED	2
287	green	148	1425	GREEN	2
288	yellow	148	1424	YELLOW	2
289	when (near future)	148	1238	WHEN	2
290	where	149	1237	WHERE	2
291	who	149	1235	WHO	2
292	what	149	1236	WHAT	2
293	how many	150	822	HOW MANY	2
294	this thing	150	1214	THIS	2
295	that thing	150	78	THAT	2
296	these things	151			
297	those things	151			
298	1s	151	1209	I	2
299	2s (familiar)	151	1215	THOU	4
300	2s (honorific)	151	3292	THOU (HONORIFIC)	4
301	3s (generic/male)	152	1211	HE	4
302	3s (female)	152	1834	SHE	4
303	1p	152	1212	WE	4
304	3p	153	817	THEY	2
305	2p (familiar)	152	1213	YOU	4
306	2p (honorific)	152	3293	YOU (HONORIFIC)	4
