ID,Name,Concepticon_ID,Concepticon_Gloss
175-toliedown,to lie down,215,LIE DOWN
176-towalk,to walk,1443,WALK
177-tofly,to fly,1441,FLY (MOVE THROUGH AIR)
178-toenter,to enter,749,ENTER
179-tokick,to kick,1135,KICK
180-toswim,to swim,1439,SWIM
181-tosee,to see,1409,SEE
182-tohear,to hear,1408,HEAR
183-towait,to wait,1590,WAIT (FOR)
184-tocry,to cry,1839,CRY
185-tocook,to cook,1100,COOK (SOMETHING)
186-toboilwater,to boil (water),792,BOIL (OF LIQUID)
187-toeat,to eat,1336,EAT
188-todrink,to drink,1401,DRINK
189-tosing,to sing,1261,SING
190-tobite,to bite,1403,BITE
191-tolaugh,to laugh,1355,LAUGH
192-tospeak,to speak,1623,SPEAK
193-toknow,to know,3626,KNOW
194-toforget,to forget,1523,FORGET
195-tosleep,to sleep,1585,SLEEP
196-todream,to dream,1920,DREAM (SOMETHING)
197-todomake,to do/make,2575,DO OR MAKE
198-towork,to work,1086,WORK (ACTIVITY)
199-toplay,to play,1413,PLAY
200-todance,to dance,1879,DANCE
201-tothrow,to throw,1456,THROW
202-tolift,to lift,501,LIFT
203-topush,to push,1452,PUSH
204-topull,to pull,1455,PULL
205-totie,to tie,1917,TIE
206-towipe,to wipe,1454,WIPE
207-toweaveonloom,to weave (on loom),133,WEAVE
208-tosew,to sew,1457,SEW
209-towashfacehand,to wash (face/hand),1453,WASH
210-totakebath,to take bath,138,BATHE
211-tocutsomething,to cut (something),1432,CUT
212-toburn,to burn,2102,BURN
213-tobuy,to buy,1869,BUY
214-tosell,to sell,1571,SELL
215-tosteal,to steal,713,STEAL
216-toliefib,"to lie, fib",601,LIE (MISLEAD)
217-totake,to take,1749,TAKE
218-togive,to give,1447,GIVE
219-tokill,to kill,1417,KILL
220-todie,to die,1494,DIE
221-tolove,to love,923,LOVE
222-tohate,to hate,1607,HATE
223-one,one,1493,ONE
224-two,two,1498,TWO
225-three,three,492,THREE
226-four,four,1500,FOUR
227-five,five,493,FIVE
228-six,six,1703,SIX
229-seven,seven,1704,SEVEN
230-eight,eight,1705,EIGHT
231-nine,nine,1483,NINE
232-ten,ten,1515,TEN
233-eleven,eleven,1706,ELEVEN
234-twelve,twelve,1707,TWELVE
235-twenty,twenty,1710,TWENTY
236-hundred,hundred,1634,HUNDRED
237-thousand,thousand,1843,THOUSAND
238-some,some,1241,SOME
239-many,many,1198,MANY
240-all,all,98,ALL
241-big,big,1202,BIG
242-small,small,1246,SMALL
243-long,long,1203,LONG
244-shortlength,short (length),1645,SHORT
245-heavy,heavy,1210,HEAVY
246-lightnotheavy,light (not heavy),1052,LIGHT (WEIGHT)
248-thin,thin,1400,THIN (SLIM)
249-widebroad,"wide, broad",1243,WIDE
